org_id,organization,screening_decision,screening_evidence_certainty,verified_typology_labels,typology_label_count,verified_news_edge_count,unique_news_story_count,unique_outlet_count,media_layer_count,media_layers_observed,community_ethnic_edge_count,local_regional_edge_count,national_amplification_edge_count,national_amplification_observed,cross_layer_observed,three_layer_observed,direct_quote_edge_count,substantive_interpretation_edge_count,resource_routing_edge_count,mobilization_uptake_edge_count,legal_information_uptake_edge_count,service_uptake_edge_count,media_visibility_status,interpretation_note
TC066,United Cambodian Association of Minnesota (UCAM),eligible,verified,advocacy;community_rooted;direct_service;ethnocultural;immigrant_integration;legal,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC067,Immigrant Connection - Waite Park,eligible,verified,direct_service;faith_based;immigrant_integration;legal,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC068,Immigrant Connection Mosaic,eligible,verified,direct_service;education_workforce;faith_based;immigrant_integration;legal,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC069,Hmong Cultural Center,eligible,verified,community_rooted;education_workforce;ethnocultural;immigrant_integration,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC070,Hmong American Partnership,eligible,verified,community_rooted;direct_service;education_workforce;ethnocultural;immigrant_integration,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC071,Lao Assistance Center of Minnesota,eligible,verified,community_rooted;direct_service;ethnocultural;immigrant_integration,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC072,Confederation of Somali Community in Minnesota,eligible,verified,community_rooted;direct_service;ethnocultural;immigrant_integration;legal,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC073,Center for Victims of Torture,eligible,verified,civil_rights_human_rights;direct_service;health_wellbeing,3,10,10,6,2,local_regional;national_amplification,0,8,2,1,1,0,10,10,10,0,4,10,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC074,COPAL - Communities Organizing Latine Power and Action,eligible,verified,advocacy;civil_rights_human_rights;community_rooted;ethnocultural;organizing,5,2,2,2,2,local_regional;national_amplification,0,1,1,1,1,0,2,2,1,1,0,1,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC075,Unidos MN,eligible,verified,advocacy;community_rooted;immigrant_integration;organizing,4,5,5,4,1,local_regional,0,5,0,0,0,0,5,5,4,4,3,4,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC076,Minnesota Interfaith Coalition on Immigration (ICOM),eligible,verified,advocacy;coalition_network;direct_service;faith_based;organizing,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC077,ISAIAH,eligible,verified,advocacy;civil_rights_human_rights;coalition_network;faith_based;organizing,5,2,2,2,1,community_ethnic,2,0,0,0,0,0,1,1,0,2,0,0,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC078,Jewish Community Action,eligible,verified,advocacy;community_rooted;faith_based;housing_economic;organizing,5,6,6,2,2,community_ethnic;national_amplification,5,0,1,1,1,0,2,2,2,6,0,2,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC080,Asamblea de Derechos Civiles,probably_eligible,provisional,advocacy;civil_rights_human_rights;community_rooted;ethnocultural;faith_based;organizing,6,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC081,Minnesota Immigrant Movement,eligible,verified,advocacy;community_rooted;direct_service;organizing,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,no_verified_edge_in_current_corpus,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC082,Coalition of Asian American Leaders (CAAL),eligible,verified,advocacy;coalition_network;community_rooted;organizing,4,2,2,2,2,community_ethnic;national_amplification,1,0,1,1,1,0,1,1,0,1,0,0,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
TC084,Minnesota Immigrant Rights Action Committee (MIRAC),eligible,verified,advocacy;civil_rights_human_rights;organizing,3,8,8,5,3,community_ethnic;local_regional;national_amplification,1,6,1,1,1,1,5,7,0,7,0,0,verified_edge_observed,A zero edge count means no verified relation in the current collected corpus; it is not proof of zero media coverage.
